epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,278.317,0.64405,0.96352,0.43684,0.87918,0.83537,0.79005,0.78903,0.57297,0.83608,0.78572,0.79343,0.51566,1.02849,1.96315,0.84198,1.12757,0.000724062,0.000724062,0.000724062
87,281.54,0.62698,0.93494,0.43734,0.86812,0.89576,0.74477,0.79127,0.56124,0.74901,0.70026,0.71179,0.48944,1.08334,2.02439,0.86849,1.16763,0.000717875,0.000717875,0.000717875
88,284.622,0.62395,0.96992,0.43188,0.87763,0.63497,0.82134,0.74135,0.5445,0.63627,0.82319,0.74342,0.48555,1.10105,2.24046,1.101,1.16115,0.000711687,0.000711687,0.000711687
89,287.642,0.63713,0.97357,0.44004,0.87803,0.61634,0.79029,0.70893,0.54336,0.67197,0.84357,0.75495,0.4841,1.02045,2.1892,1.00859,1.12589,0.0007055,0.0007055,0.0007055
90,290.732,0.64593,1.02338,0.45747,0.89004,0.65706,0.78448,0.72778,0.54151,0.71921,0.75812,0.76009,0.47048,1.08203,2.28177,0.9558,1.15975,0.000699312,0.000699312,0.000699312
91,293.821,0.61779,0.96054,0.42775,0.87344,0.69956,0.75628,0.74388,0.54885,0.69956,0.75628,0.76699,0.48126,1.0538,2.13505,0.88641,1.14876,0.000693125,0.000693125,0.000693125
92,296.939,0.61095,0.93705,0.42327,0.88247,0.80075,0.79627,0.78761,0.57147,0.80473,0.79997,0.79118,0.5089,1.0587,2.13416,0.87888,1.1491,0.000686937,0.000686937,0.000686937
93,299.966,0.59033,0.92028,0.40763,0.86695,0.77764,0.79147,0.77094,0.558,0.78333,0.79332,0.77117,0.49494,1.03048,2.02785,0.97152,1.12262,0.00068075,0.00068075,0.00068075
94,303.041,0.57997,0.89944,0.40739,0.86277,0.74592,0.81329,0.78984,0.59542,0.74762,0.81514,0.79063,0.54792,1.01804,2.01153,0.88913,1.13303,0.000674562,0.000674562,0.000674562
95,306.332,0.60182,0.9161,0.40785,0.86977,0.81384,0.73881,0.76302,0.56037,0.81384,0.73881,0.7635,0.51132,1.04932,2.14273,0.87277,1.12463,0.000668375,0.000668375,0.000668375
96,309.502,0.6358,0.97519,0.43303,0.87812,0.75639,0.71023,0.72855,0.56086,0.75639,0.71023,0.72287,0.52712,1.03944,1.98164,0.82255,1.13461,0.000662188,0.000662188,0.000662188
97,312.552,0.60734,0.93392,0.41476,0.8623,0.80354,0.75491,0.76172,0.56563,0.80508,0.75676,0.75203,0.49236,1.01253,2.15559,0.86013,1.14611,0.000656,0.000656,0.000656
98,315.585,0.60246,0.92859,0.40499,0.86712,0.75555,0.75815,0.73539,0.54075,0.82345,0.80951,0.80076,0.51521,1.04185,2.06268,0.88826,1.14794,0.000649813,0.000649813,0.000649813
99,318.751,0.603,0.9185,0.40287,0.86612,0.57693,0.79122,0.69551,0.52999,0.61747,0.79122,0.71433,0.46905,1.03889,2.15199,0.93579,1.16508,0.000643625,0.000643625,0.000643625
100,321.89,0.62771,0.94576,0.42435,0.87825,0.655,0.77653,0.71093,0.52565,0.58681,0.79678,0.70293,0.48016,1.04073,2.27257,0.89811,1.12291,0.000637437,0.000637437,0.000637437
