epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,265.52,0.55279,0.36089,0.8341,0.75918,0.80368,0.80634,0.59789,0.99797,0.87339,1.02652,0.000402312,0.000402312,0.000402312
139,267.41,0.56542,0.36868,0.83447,0.78523,0.80362,0.79969,0.58851,1.01094,0.89142,1.029,0.000396125,0.000396125,0.000396125
140,269.234,0.56049,0.35956,0.8392,0.82575,0.81369,0.82253,0.57487,1.00674,0.86752,1.03052,0.000389938,0.000389938,0.000389938
141,270.997,0.53686,0.34264,0.82782,0.85076,0.8125,0.82159,0.59793,0.99961,0.84833,1.02833,0.00038375,0.00038375,0.00038375
142,272.756,0.54456,0.34541,0.83096,0.6984,0.81554,0.77844,0.5784,0.97721,0.87394,1.02488,0.000377563,0.000377563,0.000377563
143,274.485,0.52089,0.33604,0.82731,0.68232,0.79984,0.77753,0.55327,1.01062,0.90015,1.04619,0.000371375,0.000371375,0.000371375
144,276.296,0.54793,0.3535,0.84416,0.78785,0.82826,0.80545,0.56939,1.0121,0.93381,1.05194,0.000365188,0.000365188,0.000365188
145,278.059,0.50719,0.32846,0.82303,0.81379,0.82548,0.81221,0.576,1.04233,0.9413,1.06164,0.000359,0.000359,0.000359
146,279.958,0.5252,0.33739,0.83184,0.87023,0.77641,0.81515,0.58009,1.01086,0.89705,1.04523,0.000352812,0.000352812,0.000352812
147,281.781,0.51261,0.32418,0.81785,0.86738,0.71404,0.76012,0.55302,1.042,0.8978,1.0466,0.000346625,0.000346625,0.000346625
148,283.768,0.51384,0.32562,0.81653,0.82896,0.72641,0.75,0.56797,1.02896,0.87761,1.08016,0.000340438,0.000340438,0.000340438
149,285.552,0.50645,0.33198,0.82562,0.83244,0.72271,0.75171,0.55672,1.03545,0.89637,1.06001,0.00033425,0.00033425,0.00033425
150,287.321,0.5044,0.32508,0.82576,0.86478,0.71001,0.7547,0.5564,1.00767,0.88855,1.05277,0.000328063,0.000328063,0.000328063
151,289.074,0.49821,0.32173,0.82056,0.86365,0.75243,0.79024,0.58249,1.02394,0.89981,1.06013,0.000321875,0.000321875,0.000321875
152,290.827,0.49561,0.32207,0.82215,0.75922,0.81356,0.81114,0.60702,0.99457,0.87374,1.05563,0.000315687,0.000315687,0.000315687
153,292.595,0.49365,0.32519,0.82254,0.76712,0.81291,0.80736,0.58249,0.98973,0.86133,1.04834,0.0003095,0.0003095,0.0003095
154,294.394,0.51095,0.33186,0.82419,0.76616,0.81311,0.809,0.58736,0.98592,0.87684,1.05598,0.000303313,0.000303313,0.000303313
155,296.229,0.50419,0.32044,0.82257,0.74666,0.77179,0.76559,0.5816,1.01369,0.88004,1.05216,0.000297125,0.000297125,0.000297125
156,298.237,0.48904,0.3154,0.82307,0.84741,0.70494,0.76832,0.58493,0.97395,0.87516,1.04279,0.000290937,0.000290937,0.000290937
157,300.089,0.50034,0.31689,0.81563,0.87735,0.69719,0.76689,0.59551,0.98267,0.85759,1.04436,0.00028475,0.00028475,0.00028475
158,301.818,0.53296,0.34058,0.83452,0.88976,0.69726,0.77039,0.58499,1.03563,0.87433,1.0658,0.000278562,0.000278562,0.000278562
159,303.598,0.50866,0.32015,0.83324,0.87437,0.68832,0.77037,0.59503,0.99467,0.87706,1.05253,0.000272375,0.000272375,0.000272375
160,305.413,0.51435,0.32667,0.82554,0.83882,0.68623,0.76726,0.57767,0.99969,0.86671,1.05154,0.000266187,0.000266187,0.000266187
161,307.133,0.51929,0.33404,0.82333,0.82096,0.68959,0.75067,0.56508,1.01493,0.87207,1.06093,0.00026,0.00026,0.00026
162,308.939,0.49587,0.32169,0.825,0.80732,0.69359,0.74398,0.55844,0.9784,0.8904,1.02823,0.000253812,0.000253812,0.000253812
163,310.829,0.48905,0.30981,0.8184,0.72136,0.75455,0.75503,0.56307,0.97683,0.89769,1.0276,0.000247625,0.000247625,0.000247625
164,312.695,0.48827,0.31223,0.82055,0.73851,0.76369,0.74575,0.55983,0.98507,0.90202,1.03167,0.000241438,0.000241438,0.000241438
165,314.551,0.48091,0.31202,0.82324,0.82677,0.70297,0.74808,0.57393,0.99808,0.89951,1.03485,0.00023525,0.00023525,0.00023525
166,316.351,0.48169,0.3182,0.81774,0.83697,0.69945,0.74774,0.57736,1.00756,0.88521,1.05364,0.000229063,0.000229063,0.000229063
167,318.18,0.46239,0.29532,0.81814,0.84048,0.69356,0.75142,0.58351,0.99793,0.85579,1.04832,0.000222875,0.000222875,0.000222875
168,320.022,0.48868,0.31042,0.81824,0.86945,0.69171,0.76026,0.58355,0.97963,0.85888,1.03648,0.000216688,0.000216688,0.000216688
169,321.793,0.48036,0.30523,0.81929,0.87651,0.6952,0.76287,0.57815,0.99322,0.85563,1.04861,0.0002105,0.0002105,0.0002105
170,323.558,0.49664,0.3137,0.81936,0.71812,0.76739,0.7713,0.58471,0.98317,0.85699,1.0468,0.000204313,0.000204313,0.000204313
171,325.408,0.45877,0.29851,0.81106,0.88935,0.75522,0.79441,0.59102,0.98185,0.86358,1.04538,0.000198125,0.000198125,0.000198125
172,327.329,0.47979,0.31279,0.81534,0.78082,0.75813,0.77591,0.583,1.00803,0.87343,1.04962,0.000191938,0.000191938,0.000191938
173,329.124,0.46999,0.30713,0.81602,0.78659,0.75998,0.77769,0.59003,0.97374,0.87219,1.03092,0.00018575,0.00018575,0.00018575
174,330.916,0.46168,0.30449,0.81566,0.78443,0.75955,0.7785,0.59078,0.96738,0.85917,1.03477,0.000179563,0.000179563,0.000179563
175,332.705,0.46266,0.30077,0.81151,0.78233,0.75769,0.78132,0.5989,0.97261,0.85322,1.03242,0.000173375,0.000173375,0.000173375
176,334.526,0.45141,0.29572,0.81231,0.79804,0.75415,0.78629,0.59917,0.96942,0.86159,1.03035,0.000167188,0.000167188,0.000167188
177,336.321,0.45838,0.29943,0.81491,0.77135,0.75131,0.78526,0.59868,0.97613,0.85977,1.03478,0.000161,0.000161,0.000161
178,338.12,0.44113,0.28831,0.81719,0.75211,0.75366,0.77233,0.58561,0.97954,0.87495,1.03315,0.000154812,0.000154812,0.000154812
179,339.894,0.45513,0.30155,0.8234,0.74498,0.75694,0.77081,0.58666,0.99038,0.89494,1.03485,0.000148625,0.000148625,0.000148625
180,341.802,0.44323,0.29205,0.81553,0.70662,0.80606,0.78015,0.59429,0.98902,0.90013,1.03624,0.000142437,0.000142437,0.000142437
